index,name,imports (m usd)
0,Afghanistan,690.196
1,Australia,9404.863
2,Austria,12019.98
3,Belgium,32002.948
4,Brazil,9512.232
5,Canada,27034.229
6,China,91670.308
7,Hong Kong,15548.371
8,"China, mainland",70223.756
9,Taiwan,10047.235
10,Denmark,9913.468
12,Finland,4416.487
13,France,48203.698
14,Germany,77387.444
15,Guatemala,1832.337
16,India,10177.322
17,Indonesia,13675.173
18,Iran,8621.617
20,Ireland,7273.854
21,Italy,41846.592
22,Japan,59340.743
24,Lebanon,2743.879
25,Malaysia,14960.242
26,Netherlands,47485.332
27,Pakistan,4421.938
28,Philippines,5957.363
29,Poland,12838.811
30,Republic of Korea,19959.143
31,Russian Federation,32347.769
32,Saudi Arabia,16411.111
33,Singapore,9863.038
34,Spain,27734.946
35,Sweden,10129.817
36,Switzerland,10386.339
38,Thailand,7816.318
39,Turkey,9698.923
41,Ukraine,3786.69
43,United Kingdom,52941.976
44,United States,91063.361
47,Albania,804.425
48,Argentina,1656.968
50,Bosnia and Herzegovina,1696.745
51,Bulgaria,2529.378
52,Cabo Verde,203.788
53,Cameroon,723.823
54,Colombia,3939.524
56,Congo,285.549
57,Costa Rica,1154.755
58,Cote d'Ivoire,1261.345
59,Croatia,2046.196
61,Cyprus,1143.276
62,Czech Republic,7445.249
65,Ecuador,1600.717
66,Ethiopia,920.387
67,Greece,7341.644
68,Hungary,4407.135
69,Israel,4114.59
70,Kenya,1479.5
71,Kyrgyzstan,585.521
72,Lithuania,2677.342
73,Luxembourg,2224.476
74,Malawi,439.615
75,Mexico,20301.845
76,Montenegro,513.665
77,Morocco,4228.466
78,Nicaragua,677.066
79,Norway,5367.539
81,Portugal,8718.369
82,Republic of Moldova,550.287
83,Romania,4940.511
85,Serbia,994.927
86,Slovakia,4386.991
87,Slovenia,2769.743
88,Syrian Arab Republic,3599.761
89,Macedonia,671.212
90,Tunisia,2115.941
91,Uganda,576.926
93,Venezuela,6072.099
94,Bolivia,398.065
95,Chile,4066.352
96,El Salvador,1422.334
97,Estonia,1166.851
98,Fiji,279.198
99,Georgia,890.446
101,Iceland,318.917
102,Jamaica,807.771
103,Madagascar,320.875
104,New Zealand,3142.855
107,Peru,3079.553
108,South Africa,4977.977
109,Sri Lanka,1869.716
111,Trinidad and Tobago,699.906
112,United Republic of Tanzania,795.496
114,Zambia,229.593
115,Armenia,660.53
116,Belarus,2679.395
117,Central African Republic,55.428
118,Ghana,1148.5
119,Guyana,213.276
120,Latvia,1675.681
123,Nigeria,9.781
124,Oman,2343.418
126,Aruba,323.006
127,Barbados,274.685
129,Suriname,206.874
132,Azerbaijan,1216.52
133,Bahrain,1228.836
135,Belize,115.108
137,Botswana,696.803
138,Cambodia,362.727
139,Macao,876.734
145,Jordan,2428.848
147,Malta,510.466
149,Mauritius,679.574
154,Nepal,593.447
155,New Caledonia,370.605
156,Niger,350.91
157,Qatar,1867.139
158,Rwanda,170.238
164,Tonga,42.609
165,Vanuatu,63.946
167,Zimbabwe,1992.134
169,Burkina Faso,308.785
172,Togo,137.61
177,Saint Vincent and the Grenadines,82.293
179,Benin,466.355
180,Burundi,54.639
181,French Polynesia,381.785
186,Senegal,1045.991
189,Bhutan,93.351
192,Gambia,158.758
211,Maldives,231.032
212,Mauritania,353.95
