index,name,net_trade (m usd),i + e (m usd)
0,Afghanistan,-459.129,921.263
1,Australia,20130.75,38940.476
2,Austria,-2100.3639999999996,21939.595999999998
3,Belgium,-1237.315999999999,62768.58
4,Brazil,59123.03899999999,78147.503
5,Canada,8951.328999999998,63019.787
6,China,-65833.39600000001,117507.22
7,Hong Kong,-14425.911999999998,16670.829999999998
8,"China, mainland",-41962.348999999995,98485.163
9,Taiwan,-8604.951000000001,11489.519
10,Denmark,5508.280999999999,25335.217
11,Egypt,3241.825,3241.825
12,Finland,-2641.228,6191.746
13,France,14390.057,110797.453
14,Germany,-10438.63900000001,144336.249
15,Guatemala,2323.028,5987.701999999999
16,India,7375.698,27730.342
17,Indonesia,18318.423000000003,45668.769
18,Iran,-6359.9490000000005,10883.285
19,Iraq,51.462,51.462
20,Ireland,6430.236,20977.944
21,Italy,-6903.322999999997,76789.861
22,Japan,-54714.964,63966.522000000004
23,Kazakhstan,1290.116,1290.116
24,Lebanon,-2352.911,3134.8469999999998
25,Malaysia,10477.981999999998,40398.466
26,Netherlands,27378.273999999998,122348.938
27,Pakistan,-1550.1680000000001,7293.7080000000005
28,Philippines,-452.83700000000044,11461.889
29,Poland,2501.1679999999997,28178.79
30,Republic of Korea,-16653.22,23265.066
31,Russian Federation,-27677.078,37018.46
32,Saudi Arabia,-15218.820000000002,17603.402000000002
33,Singapore,-4875.231000000001,14850.845000000001
34,Spain,6198.909000000003,61668.80100000001
35,Sweden,-5611.084999999999,14648.548999999999
36,Switzerland,-759.0709999999999,20013.607
37,Tajikistan,321.132,321.132
38,Thailand,21776.385000000002,37409.021
39,Turkey,-596.6760000000013,18801.17
40,Turkmenistan,298.6,298.6
41,Ukraine,4520.028,12093.408000000001
42,United Arab Emirates,6076.399,6076.399
43,United Kingdom,-28401.460000000003,77482.492
44,United States,38997.18699999999,221123.90899999999
45,Uzbekistan,2224.072,2224.072
46,Vietnam,9696.33,9696.33
47,Albania,-744.266,864.584
48,Argentina,35404.621,38718.557
49,Bahamas,20.961,20.961
50,Bosnia and Herzegovina,-1327.096,2066.394
51,Bulgaria,156.21000000000004,5214.966
52,Cabo Verde,-202.482,205.09400000000002
53,Cameroon,677.0659999999999,2124.712
54,Colombia,2317.7900000000004,10196.838
55,Comoros,19.136,19.136
56,Congo,-225.63099999999997,345.467
57,Costa Rica,3155.2789999999995,5464.789
58,Cote d'Ivoire,4562.873,7085.563
59,Croatia,-850.694,3241.698
60,Cuba,908.384,908.384
61,Cyprus,-734.9240000000001,1551.6280000000002
62,Czech Republic,-1724.7579999999998,13165.74
63,Dominica,21.909,21.909
64,Dominican Republic,1512.684,1512.684
65,Ecuador,3433.966,6635.4
66,Ethiopia,673.973,2514.747
67,Greece,-2503.209,12180.079000000002
68,Hungary,2632.0609999999997,11446.331
69,Israel,-1967.8920000000003,6261.2880000000005
70,Kenya,739.0929999999998,3698.093
71,Kyrgyzstan,-318.96099999999996,852.0809999999999
72,Lithuania,-172.0260000000003,5182.657999999999
73,Luxembourg,-609.4290000000001,3839.523
74,Malawi,359.778,1239.008
75,Mexico,-1450.9850000000006,39152.705
76,Montenegro,-484.258,543.072
77,Morocco,-1994.4020000000005,6462.530000000001
78,Nicaragua,658.8620000000001,2012.9940000000001
79,Norway,-4637.396,6097.682
80,Panama,447.405,447.405
81,Portugal,-4472.1900000000005,12964.548
82,Republic of Moldova,104.29199999999992,1204.866
83,Romania,-1590.4730000000004,8290.549
84,Sao Tome and Principe,8.343,8.343
85,Serbia,1029.4899999999998,3019.344
86,Slovakia,-2283.53,6490.451999999999
87,Slovenia,-1652.922,3886.564
88,Syrian Arab Republic,-2481.446,4718.076
89,Macedonia,-158.745,1183.679
90,Tunisia,-1346.3259999999998,2885.5559999999996
91,Uganda,89.18299999999999,1243.035
92,Unspecified,1082.756,1082.756
93,Venezuela,-5900.1320000000005,6244.066
94,Bolivia,677.0029999999999,1473.133
95,Chile,6277.473000000001,14410.177
96,El Salvador,-614.0490000000001,2230.619
97,Estonia,-451.0970000000001,1882.605
98,Fiji,-45.22999999999999,513.1659999999999
99,Georgia,-683.6800000000001,1097.212
100,Honduras,1735.043,1735.043
101,Iceland,-232.92799999999997,404.90599999999995
102,Jamaica,-528.559,1086.983
103,Madagascar,-39.91500000000002,601.835
104,New Zealand,13970.399000000001,20256.109
105,Papua New Guinea,968.848,968.848
106,Paraguay,3682.381,3682.381
107,Peru,610.002,6769.108
108,South Africa,2181.1850000000004,12137.139
109,Sri Lanka,-265.14099999999985,3474.291
110,Sudan,528.327,528.327
111,Trinidad and Tobago,-448.10099999999994,951.711
112,United Republic of Tanzania,145.25599999999997,1736.248
113,Uruguay,5109.376,5109.376
114,Zambia,324.264,783.4499999999999
115,Armenia,-503.13599999999997,817.924
116,Belarus,-2348.361,3010.429
117,Central African Republic,-39.17699999999999,71.679
118,Ghana,1696.0749999999998,3993.075
119,Guyana,46.712999999999965,473.265
120,Latvia,-683.816,2667.5460000000003
121,Mali,217.952,217.952
122,Nauru,0.299,0.299
123,Nigeria,1360.541,1380.1029999999998
124,Oman,-2116.012,2570.824
125,Sierra Leone,41.819,41.819
126,Aruba,-322.50199999999995,323.51
127,Barbados,-216.08,333.29
128,Netherlands Antilles,24.116,24.116
129,Suriname,-125.05499999999999,288.693
130,American Samoa,1.717,1.717
131,Antigua and Barbuda,10.605,10.605
132,Azerbaijan,-916.28,1516.76
133,Bahrain,-1034.57,1423.102
134,Bangladesh,235.551,235.551
135,Belize,57.778999999999996,287.995
136,Bermuda,8.756,8.756
137,Botswana,-599.519,794.087
138,Cambodia,-98.71299999999997,626.741
139,Macao,-840.1840000000001,913.284
140,Democratic People's Republic of Korea,44.997,44.997
141,Democratic Republic of the Congo,94.375,94.375
142,Djibouti,34.823,34.823
143,Eritrea,4.252,4.252
144,Guinea,81.736,81.736
145,Jordan,-2198.718,2658.978
146,Lao People's Democratic Republic,221.988,221.988
147,Malta,-438.25800000000004,582.674
148,Marshall Islands,3.479,3.479
149,Mauritius,-345.37999999999994,1013.768
150,Mongolia,160.403,160.403
151,Mozambique,538.947,538.947
152,Myanmar,1271.852,1271.852
153,Namibia,200.647,200.647
154,Nepal,-501.28,685.614
155,New Caledonia,-364.13100000000003,377.079
156,Niger,-337.144,364.67600000000004
157,Qatar,-1857.327,1876.9509999999998
158,Rwanda,-76.765,263.711
159,Saint Lucia,35.378,35.378
160,Samoa,3.79,3.79
161,Solomon Islands,47.451,47.451
162,Swaziland,352.266,352.266
163,Timor-Leste,6.596,6.596
164,Tonga,-38.398,46.82
165,Vanuatu,-38.541,89.351
166,Yemen,150.026,150.026
167,Zimbabwe,-1277.694,2706.574
168,Algeria,128.403,128.403
169,Burkina Faso,134.01599999999996,751.586
170,Grenada,6.266,6.266
171,Kuwait,171.832,171.832
172,Togo,286.58,561.8
173,Falkland Islands (Malvinas),4.825,4.825
174,Guam,0.704,0.704
175,Somalia,214.627,214.627
176,Saint Kitts and Nevis,4.121,4.121
177,Saint Vincent and the Grenadines,-71.965,92.62100000000001
178,Angola,7.155,7.155
179,Benin,-183.05600000000004,749.654
180,Burundi,2.4779999999999944,111.756
181,French Polynesia,-359.802,403.76800000000003
182,Gabon,83.845,83.845
183,Haiti,51.337,51.337
184,Liberia,277.816,277.816
185,Palestinian Territory,96.066,96.066
186,Senegal,-769.053,1322.929
187,British Virgin Islands,2.265,2.265
188,Seychelles,5.251,5.251
189,Bhutan,-91.526,95.176
190,Cook Islands,0.952,0.952
191,Lesotho,8.934,8.934
192,Gambia,-127.75500000000001,189.76100000000002
193,Guinea-Bissau,66.119,66.119
194,Niue,1.59,1.59
195,Chad,24.74,24.74
196,Equatorial Guinea,2.498,2.498
197,Faroe Islands,14.145,14.145
198,Montserrat,0.123,0.123
199,Saint Pierre and Miquelon,0.035,0.035
200,Turks and Caicos Islands,4.481,4.481
201,Brunei,1.473,1.473
202,Greenland,68.983,68.983
203,Libya,12.273,12.273
204,Micronesia,0.331,0.331
205,Palau,0.237,0.237
206,Kiribati,3.331,3.331
207,Saint Helena,0.354,0.354
208,Tuvalu,0.047,0.047
209,Cayman Islands,3.046,3.046
210,Mayotte,0.429,0.429
211,Maldives,-229.87800000000001,232.186
212,Mauritania,-350.00399999999996,357.896
213,Andorra,0.011,0.011
