index,name,net_trade (m usd)
1,Australia,1.625
2,Austria,-24.188
3,Belgium,-190.57299999999998
4,Brazil,12625.681
5,Canada,1108.436
6,China,-26179.855
10,Denmark,-48.068999999999996
11,Egypt,0.028
12,Finland,-5.428000000000001
13,France,-225.45700000000002
14,Germany,-1466.546
15,Guatemala,-1.8290000000000002
16,India,39.391999999999996
17,Indonesia,-839.9820000000001
18,Iran,-385.972
20,Ireland,-5.523000000000001
21,Italy,-607.4
22,Japan,-1831.211
23,Kazakhstan,2.271
24,Lebanon,-1.528
25,Malaysia,-268.241
26,Netherlands,-875.3449999999999
29,Poland,-4.481
30,Republic of Korea,-573.716
31,Russian Federation,-487.26
33,Singapore,-7.5760000000000005
34,Spain,-1379.6960000000001
35,Sweden,-16.235
36,Switzerland,299.71900000000005
38,Thailand,-810.441
39,Turkey,-740.494
41,Ukraine,118.585
42,United Arab Emirates,60.861
43,United Kingdom,-372.798
44,United States,18561.77
46,Vietnam,1.043
48,Argentina,5536.5689999999995
50,Bosnia and Herzegovina,-24.521
51,Bulgaria,-8.677
54,Colombia,-155.70899999999997
57,Costa Rica,-113.851
59,Croatia,2.8480000000000008
61,Cyprus,-0.07799999999999999
62,Czech Republic,-10.652
66,Ethiopia,-0.30700000000000005
67,Greece,-102.067
68,Hungary,11.535
70,Kenya,-4.795000000000001
72,Lithuania,1.226
73,Luxembourg,-0.504
74,Malawi,1.543
75,Mexico,-1591.45
77,Morocco,-93.925
78,Nicaragua,0.027
80,Panama,0.113
81,Portugal,-365.702
82,Republic of Moldova,-1.7080000000000002
83,Romania,14.872
85,Serbia,-3.3000000000000007
86,Slovakia,-3.3770000000000002
87,Slovenia,-19.61999999999999
88,Syrian Arab Republic,-222.508
91,Uganda,4.4239999999999995
94,Bolivia,31.765
95,Chile,-0.7589999999999968
97,Estonia,-0.213
104,New Zealand,-0.6849999999999999
106,Paraguay,1670.741
107,Peru,-44.783
108,South Africa,32.583
109,Sri Lanka,-0.8079999999999999
112,United Republic of Tanzania,-1.29
113,Uruguay,886.695
114,Zambia,6.397
118,Ghana,0.022
120,Latvia,-7.569
123,Nigeria,0.03
129,Suriname,-0.078
131,Antigua and Barbuda,6.349
136,Bermuda,3.39
138,Cambodia,19.936999999999998
146,Lao People's Democratic Republic,0.003
149,Mauritius,-0.167
152,Myanmar,0.069
153,Namibia,0.089
169,Burkina Faso,0.016
171,Kuwait,0.077
172,Togo,1.534
179,Benin,0.008
27,Pakistan,-0.058
28,Philippines,-30.298
32,Saudi Arabia,-167.157
52,Cabo Verde,-0.003
53,Cameroon,-0.003
58,Cote d'Ivoire,-0.079
65,Ecuador,-0.281
69,Israel,-227.405
71,Kyrgyzstan,-0.282
76,Montenegro,-0.629
79,Norway,-194.034
89,Macedonia,-0.301
90,Tunisia,-199.269
93,Venezuela,-48.185
96,El Salvador,-0.046
98,Fiji,-0.009
101,Iceland,-0.014
102,Jamaica,-0.099
103,Madagascar,-0.227
111,Trinidad and Tobago,-5.392
116,Belarus,-2.557
119,Guyana,-1.82
124,Oman,-0.006
126,Aruba,-0.007
127,Barbados,-10.015
132,Azerbaijan,-4.24
133,Bahrain,-5.594
137,Botswana,-1.427
145,Jordan,-0.04
147,Malta,-0.054
154,Nepal,-12.599
155,New Caledonia,-0.029
157,Qatar,-0.169
158,Rwanda,-0.821
165,Vanuatu,-0.001
167,Zimbabwe,-9.553
177,Saint Vincent and the Grenadines,-0.574
181,French Polynesia,-0.022
186,Senegal,-0.006
189,Bhutan,-0.017
211,Maldives,-0.004
