,# index, name, nodeLabel, _pos
0,0,Afghanistan,Afghanistan,"array([-4.48975421, -3.92100656])"
47,47,Albania,Albania,"array([-4.45300848, -4.0226451 ])"
168,168,Algeria,Algeria,"array([-4.45662535, -4.06570337])"
130,130,American_Samoa,American_Samoa,"array([-4.62400238, -3.90843147])"
213,213,Andorra,Andorra,"array([-4.0686514 , -3.68941791])"
178,178,Angola,Angola,"array([-4.25045666, -4.0527421 ])"
131,131,Antigua_and_Barbuda,Antigua_and_Barbuda,"array([-4.28595248, -4.01418832])"
48,48,Argentina,Argentina,"array([-4.40864464, -3.98644549])"
115,115,Armenia,Armenia,"array([-4.47723036, -3.95342105])"
126,126,Aruba,Aruba,"array([-4.37116145, -4.01328104])"
1,1,Australia,Australia,"array([-4.42536207, -3.95358235])"
2,2,Austria,Austria,"array([-4.44622656, -3.97648064])"
132,132,Azerbaijan,Azerbaijan,"array([-4.47892201, -3.94059356])"
49,49,Bahamas,Bahamas,"array([-4.4892017 , -4.08053798])"
133,133,Bahrain,Bahrain,"array([-4.45094125, -3.93747699])"
134,134,Bangladesh,Bangladesh,"array([-4.44053694, -3.89788594])"
127,127,Barbados,Barbados,"array([-4.36966934, -3.99912008])"
116,116,Belarus,Belarus,"array([-4.47238433, -3.96311126])"
3,3,Belgium,Belgium,"array([-4.43305846, -3.96885965])"
135,135,Belize,Belize,"array([-4.34492796, -3.96451717])"
179,179,Benin,Benin,"array([-4.41451191, -4.03159378])"
136,136,Bermuda,Bermuda,"array([-4.4367379 , -4.14142623])"
189,189,Bhutan,Bhutan,"array([-4.51600014, -3.96871426])"
94,94,Bolivia_(Plurinational_State_of),Bolivia_(Plurinational_State_of),"array([-4.38305355, -4.01484635])"
50,50,Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,"array([-4.43374004, -4.01764927])"
137,137,Botswana,Botswana,"array([-4.38834437, -3.8981332 ])"
4,4,Brazil,Brazil,"array([-4.41524975, -3.98552313])"
187,187,British_Virgin_Islands,British_Virgin_Islands,"array([-4.46481689, -4.13039496])"
201,201,Brunei_Darussalam,Brunei_Darussalam,"array([-4.39103594, -3.78813566])"
51,51,Bulgaria,Bulgaria,"array([-4.46351528, -3.98520542])"
169,169,Burkina_Faso,Burkina_Faso,"array([-4.43754126, -4.03555492])"
180,180,Burundi,Burundi,"array([-4.37134923, -3.90248937])"
52,52,Cabo_Verde,Cabo_Verde,"array([-4.46488249, -4.03354487])"
138,138,Cambodia,Cambodia,"array([-4.39411694, -4.00797217])"
53,53,Cameroon,Cameroon,"array([-4.38758478, -3.94518906])"
5,5,Canada,Canada,"array([-4.40539495, -3.9727129 ])"
209,209,Cayman_Islands,Cayman_Islands,"array([-4.2373855 , -3.94660528])"
117,117,Central_African_Republic,Central_African_Republic,"array([-4.36849038, -3.88658357])"
195,195,Chad,Chad,"array([-4.24308811, -3.98292188])"
95,95,Chile,Chile,"array([-4.40163534, -3.98177115])"
6,6,China,China,"array([-4.42550339, -3.96277971])"
7,7,"China,_Hong_Kong_SAR","China,_Hong_Kong_SAR","array([-4.40214691, -3.95019817])"
139,139,"China,_Macao_SAR","China,_Macao_SAR","array([-4.40467219, -3.90026191])"
9,9,"China,_Taiwan_Province_of","China,_Taiwan_Province_of","array([-4.40799818, -3.94559593])"
8,8,"China,_mainland","China,_mainland","array([-4.4202127 , -3.96274827])"
54,54,Colombia,Colombia,"array([-4.38987716, -3.98123763])"
55,55,Comoros,Comoros,"array([-4.32850955, -4.0668218 ])"
56,56,Congo,Congo,"array([-4.37152075, -3.94361985])"
190,190,Cook_Islands,Cook_Islands,"array([-4.43368604, -3.76781587])"
57,57,Costa_Rica,Costa_Rica,"array([-4.38568897, -3.98912031])"
59,59,Croatia,Croatia,"array([-4.45429067, -3.9965603 ])"
60,60,Cuba,Cuba,"array([-4.43140182, -4.05579879])"
61,61,Cyprus,Cyprus,"array([-4.46091264, -3.95478374])"
62,62,Czech_Republic,Czech_Republic,"array([-4.454535 , -3.9803759])"
58,58,C̫te_d'Ivoire,C̫te_d'Ivoire,"array([-4.40896243, -4.00853643])"
140,140,Democratic_People's_Republic_of_Korea,Democratic_People's_Republic_of_Korea,"array([-4.31545466, -3.93552164])"
