name,i + e (m usd)
Afghanistan,921.263
Australia,38940.476
Austria,21939.595999999998
Belgium,62768.58
Brazil,78147.503
Canada,63019.787
China,117507.22
Hong Kong,16670.829999999998
"China, mainland",98485.163
Taiwan,11489.519
Denmark,25335.217
Egypt,3241.825
Finland,6191.746
France,110797.453
Germany,144336.249
Guatemala,5987.701999999999
India,27730.342
Indonesia,45668.769
Iran,10883.285
Iraq,51.462
Ireland,20977.944
Italy,76789.861
Japan,63966.522000000004
Kazakhstan,1290.116
Lebanon,3134.8469999999998
Malaysia,40398.466
Netherlands,122348.938
Pakistan,7293.7080000000005
Philippines,11461.889
Poland,28178.79
Republic of Korea,23265.066
Russian Federation,37018.46
Saudi Arabia,17603.402000000002
Singapore,14850.845000000001
Spain,61668.80100000001
Sweden,14648.548999999999
Switzerland,20013.607
Tajikistan,321.132
Thailand,37409.021
Turkey,18801.17
Turkmenistan,298.6
Ukraine,12093.408000000001
United Arab Emirates,6076.399
United Kingdom,77482.492
United States,221123.90899999999
Uzbekistan,2224.072
Vietnam,9696.33
Albania,864.584
Argentina,38718.557
Bahamas,20.961
Bosnia and Herzegovina,2066.394
Bulgaria,5214.966
Cabo Verde,205.09400000000002
Cameroon,2124.712
Colombia,10196.838
Comoros,19.136
Congo,345.467
Costa Rica,5464.789
Cote d'Ivoire,7085.563
Croatia,3241.698
Cuba,908.384
Cyprus,1551.6280000000002
Czech Republic,13165.74
Dominica,21.909
Dominican Republic,1512.684
Ecuador,6635.4
Ethiopia,2514.747
Greece,12180.079000000002
Hungary,11446.331
Israel,6261.2880000000005
Kenya,3698.093
Kyrgyzstan,852.0809999999999
Lithuania,5182.657999999999
Luxembourg,3839.523
Malawi,1239.008
Mexico,39152.705
Montenegro,543.072
Morocco,6462.530000000001
Nicaragua,2012.9940000000001
Norway,6097.682
Panama,447.405
Portugal,12964.548
Republic of Moldova,1204.866
Romania,8290.549
Sao Tome and Principe,8.343
Serbia,3019.344
Slovakia,6490.451999999999
Slovenia,3886.564
Syrian Arab Republic,4718.076
Macedonia,1183.679
Tunisia,2885.5559999999996
Uganda,1243.035
Unspecified,1082.756
Venezuela,6244.066
Bolivia,1473.133
Chile,14410.177
El Salvador,2230.619
Estonia,1882.605
Fiji,513.1659999999999
Georgia,1097.212
Honduras,1735.043
Iceland,404.90599999999995
Jamaica,1086.983
Madagascar,601.835
New Zealand,20256.109
Papua New Guinea,968.848
Paraguay,3682.381
Peru,6769.108
South Africa,12137.139
Sri Lanka,3474.291
Sudan,528.327
Trinidad and Tobago,951.711
United Republic of Tanzania,1736.248
Uruguay,5109.376
Zambia,783.4499999999999
Armenia,817.924
Belarus,3010.429
Central African Republic,71.679
Ghana,3993.075
Guyana,473.265
Latvia,2667.5460000000003
Mali,217.952
Nauru,0.299
Nigeria,1380.1029999999998
Oman,2570.824
Sierra Leone,41.819
Aruba,323.51
Barbados,333.29
Netherlands Antilles,24.116
Suriname,288.693
American Samoa,1.717
Antigua and Barbuda,10.605
Azerbaijan,1516.76
Bahrain,1423.102
Bangladesh,235.551
Belize,287.995
Bermuda,8.756
Botswana,794.087
Cambodia,626.741
Macao,913.284
Democratic People's Republic of Korea,44.997
Democratic Republic of the Congo,94.375
Djibouti,34.823
Eritrea,4.252
Guinea,81.736
Jordan,2658.978
Lao People's Democratic Republic,221.988
Malta,582.674
Marshall Islands,3.479
Mauritius,1013.768
Mongolia,160.403
Mozambique,538.947
Myanmar,1271.852
Namibia,200.647
Nepal,685.614
New Caledonia,377.079
Niger,364.67600000000004
Qatar,1876.9509999999998
Rwanda,263.711
Saint Lucia,35.378
Samoa,3.79
Solomon Islands,47.451
Swaziland,352.266
Timor-Leste,6.596
Tonga,46.82
Vanuatu,89.351
Yemen,150.026
Zimbabwe,2706.574
Algeria,128.403
Burkina Faso,751.586
Grenada,6.266
Kuwait,171.832
Togo,561.8
Falkland Islands (Malvinas),4.825
Guam,0.704
Somalia,214.627
Saint Kitts and Nevis,4.121
Saint Vincent and the Grenadines,92.62100000000001
Angola,7.155
Benin,749.654
Burundi,111.756
French Polynesia,403.76800000000003
Gabon,83.845
Haiti,51.337
Liberia,277.816
Palestinian Territory,96.066
Senegal,1322.929
British Virgin Islands,2.265
Seychelles,5.251
Bhutan,95.176
Cook Islands,0.952
Lesotho,8.934
Gambia,189.76100000000002
Guinea-Bissau,66.119
Niue,1.59
Chad,24.74
Equatorial Guinea,2.498
Faroe Islands,14.145
Montserrat,0.123
Saint Pierre and Miquelon,0.035
Turks and Caicos Islands,4.481
Brunei,1.473
Greenland,68.983
Libya,12.273
Micronesia,0.331
Palau,0.237
Kiribati,3.331
Saint Helena,0.354
Tuvalu,0.047
Cayman Islands,3.046
Mayotte,0.429
Maldives,232.186
Mauritania,357.896
Andorra,0.011
